품목코드,품명,로트번호,제품라인,제조일자,상태,통번호,통용량,현재위치
3EDDSKN-001,니들리 데일리 토너,2E011D,etc.,2025-04-02,잔량,2,80.0,6층-A1
3MDPMSK-004,메디필 시카 쿨링 진정 패드_벌크,2E179C,etc.,2025-03-24,잔량,1,480.0,창고
3EDDMSK-002,니들리 데일리 토너 패드,2E177J,etc.,2025-10-31,외주,1,1000.0,외주
3EDDMSK-002,니들리 데일리 토너 패드,2E177J,etc.,2025-10-31,외주,2,1000.0,외주
3EDDMSK-002,니들리 데일리 토너 패드,2E177J,etc.,2025-10-31,외주,3,1000.0,외주
3EDDMSK-002,니들리 데일리 토너 패드,2E177J,etc.,2025-10-31,외주,4,1000.0,외주
3EDDMSK-002,니들리 데일리 토너 패드,2E177J,etc.,2025-10-31,외주,5,1000.0,외주
3EDDMSK-002,니들리 데일리 토너 패드,2E012K,etc.,2025-11-04,외주,1,830.0,외주
3EDDMSK-002,니들리 데일리 토너 패드,2E012K,etc.,2025-11-04,외주,2,830.0,외주
3EDDMSK-002,니들리 데일리 토너 패드,2E012K,etc.,2025-11-04,외주,3,830.0,외주
3EDDMSK-002,니들리 데일리 토너 패드,2E012K,etc.,2025-11-04,외주,4,0.0,소진
3VTCLOS-082,VT 에이제트 케어 토너 패드_벌크,2E227C,etc.,2025-03-31,잔량,1,0.0,소진
3VTCLOS-082,VT 에이제트 케어 토너 패드_벌크,2E227C,etc.,2025-03-31,잔량,2,295.0,창고
33CLMSK-055,TADA BEAUTY Essential Collagen 3-STEP Facial Care_1제(마스크팩)_벌크,2E004K,etc.,2025-11-03,잔량,1,0.0,소진
33CLMSK-055,TADA BEAUTY Essential Collagen 3-STEP Facial Care_1제(마스크팩)_벌크,2E004K,etc.,2025-11-03,잔량,2,30.0,4층-A1
33CLMSK-055,TADA BEAUTY Essential Collagen 3-STEP Facial Care_1제(마스크팩)_벌크,2E107D,etc.,2025-04-11,잔량,1,270.0,창고
33CLMSK-055,TADA BEAUTY Essential Collagen 3-STEP Facial Care_1제(마스크팩)_벌크,2E115I,etc.,2025-09-12,잔량,1,131.0,창고
33CLMSK-056,TADA BEAUTY Essential Hyaluronic Acid 3-STEP Facial Care_1제(마스크팩)_벌크,2E003K,etc.,2025-11-03,잔량,1,0.0,소진
33CLMSK-056,TADA BEAUTY Essential Hyaluronic Acid 3-STEP Facial Care_1제(마스크팩)_벌크,2E003K,etc.,2025-11-03,잔량,2,150.0,4층-A1
33CLMSK-056,TADA BEAUTY Essential Hyaluronic Acid 3-STEP Facial Care_1제(마스크팩)_벌크,2E114I,etc.,2025-09-12,잔량,2,103.0,6층-A1
3TNFMSK-001,"큐릿 탄력 케어 마스크-스네일 [보습, 진정]",2E118J,etc.,2025-10-23,잔량,1,56.0,5층-A1
3TNFMSK-001,"큐릿 탄력 케어 마스크-스네일 [보습, 진정]",2E118J,etc.,2025-10-23,잔량,2,610.0,외주
3TNFMSK-002,"큐릿 탄력 케어 마스크-콜라겐 [탄력, 생기]",2E114J,etc.,2025-10-23,잔량,1,63.0,5층-A1
3TNFMSK-002,"큐릿 탄력 케어 마스크-콜라겐 [탄력, 생기]",2E114J,etc.,2025-10-23,잔량,2,610.0,외주
3VTCMSK-063,VT 에이씨 케어 마스크(30매)_벌크,2E238E,etc.,2025-05-21,잔량,1,0.0,소진
3VTCMSK-063,VT 에이씨 케어 마스크(30매)_벌크,2E238E,etc.,2025-05-21,잔량,2,320.0,창고
3VTCMSK-040,VT 프로그로스 너리싱 3STEP 마스크팩_2제(마스크팩)_벌크,2E144J,etc.,2025-10-28,잔량,1,120.0,5층-A1
3VTCMSK-031,VT 시카 카밍 마스크팩_벌크,2E075I,etc.,2025-09-09,외주,1,254.8,외주
3VTCMSK-031,VT 시카 카밍 마스크팩_벌크,2E093J,etc.,2025-10-21,외주,1,900.0,외주
3VTCMSK-031,VT 시카 카밍 마스크팩_벌크,2E093J,etc.,2025-10-21,외주,2,900.0,외주
3VTCMSK-031,VT 시카 카밍 마스크팩_벌크,2E093J,etc.,2025-10-21,외주,3,880.0,외주
33CLMSK-065,CICA BALANCING NOURISHIN PADS_벌크,2E321G,etc.,2025-07-24,잔량,2,63.0,창고
3SUDMSK-007,브라이튼&모이스처라이징마스크,2D222C,etc.,2024-03-25,생산대기,1,1000.0,창고
3SUDMSK-007,브라이튼&모이스처라이징마스크,2D222C,etc.,2024-03-25,생산대기,2,1000.0,창고
3SUDMSK-007,브라이튼&모이스처라이징마스크,2D222C,etc.,2024-03-25,생산대기,3,1000.0,창고
3SUDMSK-007,브라이튼&모이스처라이징마스크,2D220C,etc.,2024-03-25,잔량,1,900.0,창고
3VTCMSK-078,국문_AZ_에이제트 케어 마스크_전성분 변경_330g_30ea_벌크,2E038K,etc.,2025-11-07,잔량,1,0.0,소진
3VTCMSK-078,국문_AZ_에이제트 케어 마스크_전성분 변경_330g_30ea_벌크,2E038K,etc.,2025-11-07,잔량,2,400.0,6층-A1
3VTCMSK-078,국문_AZ_에이제트 케어 마스크_전성분 변경_330g_30ea_벌크,2E138G,etc.,2025-07-10,잔량,1,0.0,소진
3VTCMSK-078,국문_AZ_에이제트 케어 마스크_전성분 변경_330g_30ea_벌크,2E138G,etc.,2025-07-10,잔량,2,390.0,창고
3KGGMSK-002,마이 디자이어 아이스크림 마스크팩(신)_벌크,2E305F,etc.,2025-06-28,생산대기,1,150.0,5층-A1
3VTCMSK-001,시카 데일리 수딩 마스크,2E111I,etc.,2025-09-12,잔량,1,0.0,소진
3VTCMSK-001,시카 데일리 수딩 마스크,2E111I,etc.,2025-09-12,잔량,2,0.0,소진
3VTCMSK-001,시카 데일리 수딩 마스크,2E111I,etc.,2025-09-12,잔량,3,0.0,소진
3VTCMSK-001,시카 데일리 수딩 마스크,2E111I,etc.,2025-09-12,잔량,4,0.0,소진
3VTCMSK-001,시카 데일리 수딩 마스크,2E111I,etc.,2025-09-12,잔량,5,110.0,4층-A1
3VTCMSK-001,시카 데일리 수딩 마스크,2E075J,etc.,2025-10-20,외주,1,910.0,외주
3VTCMSK-001,시카 데일리 수딩 마스크,2E075J,etc.,2025-10-20,외주,2,910.0,외주
3VTCMSK-001,시카 데일리 수딩 마스크,2E075J,etc.,2025-10-20,외주,3,910.0,외주
3VTCMSK-001,시카 데일리 수딩 마스크,2E075J,etc.,2025-10-20,외주,4,900.0,외주
3VTCMSK-001,시카 데일리 수딩 마스크,2E231G,etc.,2025-07-16,잔량,1,732.0,창고
3VTCMSK-001,시카 데일리 수딩 마스크,2E247I,etc.,2025-09-26,외주,1,818.0,외주
3VTCMSK-001,시카 데일리 수딩 마스크,2E247I,etc.,2025-09-26,외주,2,818.0,외주
